REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,TIME_PERIOD,VALUE
URY,Uruguay,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,30.78
USA,United States of America,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,37.04
USA,United States of America,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.27
USA,United States of America,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,35.04
IDN,Indonesia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2023,42.08
IDN,Indonesia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2023,43.75
IDN,Indonesia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2023,39.57
IND,India,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,57.11
IND,India,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,58.44
IND,India,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,54.13
PHL,Philippines,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2023,40.58
PHL,Philippines,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2023,43.07
PHL,Philippines,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2023,37.94
THA,Thailand,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,43.19
THA,Thailand,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,43.22
THA,Thailand,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,43.15
VNM,Viet Nam,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,44.79
VNM,Viet Nam,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,45.66
VNM,Viet Nam,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,43.54
EGY,Egypt,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,46.06
EGY,Egypt,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,46.83
EGY,Egypt,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,44.29
ISR,Israel,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,37.03
ISR,Israel,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.06
ISR,Israel,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,34.21
KEN,Kenya,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2022,41.18
KEN,Kenya,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2022,42.79
KEN,Kenya,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2022,37.69
TUR,Türkiye,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,43.44
TUR,Türkiye,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,43.92
TUR,Türkiye,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,42.66
