REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,INS,INS_LABEL,TIME_PERIOD,VALUE
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2020,75.408
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2020,58.362
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,941.171
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,301.347
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,639.824
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,506.144
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,126.1
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,380.045
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,435.027
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,175.247
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,259.78
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,7627.758
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,2266.584
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,5361.174
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,3967.235
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,810.287
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,3156.948
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,3660.522
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,1456.297
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,2204.225
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2020,816.891
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2020,259.291
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2020,557.6
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2020,459.071
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2020,95.235
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2020,363.836
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2020,357.82
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2020,164.056
CHL,Chile,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2020,193.764
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2017,912.11
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2017,75.677
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2017,836.433
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2017,614.161
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2017,48.502
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2017,565.659
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2017,297.949
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2017,27.175
COL,Colombia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2017,270.773
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2022,6910.524
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2022,556.968
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2022,6353.556
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2022,3938.535
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2022,209.269
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2022,3729.267
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2022,2971.988
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2022,347.699
JPN,Japan,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2022,2624.289
