REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,TIME_PERIOD,VALUE
URY,Uruguay,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,30.48
USA,United States of America,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,36.81
USA,United States of America,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,39.05
USA,United States of America,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,34.81
IDN,Indonesia,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2023,39.58
IDN,Indonesia,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2023,41.38
IDN,Indonesia,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2023,36.71
IND,India,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,56.6
IND,India,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,57.82
IND,India,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,53.57
PHL,Philippines,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2023,39.92
PHL,Philippines,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2023,42.62
PHL,Philippines,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2023,37.12
THA,Thailand,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,43.13
THA,Thailand,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,43.2
THA,Thailand,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,43.05
VNM,Viet Nam,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,44.67
VNM,Viet Nam,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,45.5
VNM,Viet Nam,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,43.45
EGY,Egypt,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,45.92
EGY,Egypt,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,46.62
EGY,Egypt,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,44.21
ISR,Israel,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,36.39
ISR,Israel,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,38.66
ISR,Israel,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,33.28
KEN,Kenya,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2022,41.23
KEN,Kenya,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2022,43.33
KEN,Kenya,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2022,36.32
TUR,Türkiye,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,43.26
TUR,Türkiye,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,43.81
TUR,Türkiye,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,42.33
