REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,GEO,GEO_LABEL,TIME_PERIOD,VALUE
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_URB,Urban,2024,277.421
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_NAT,National,2024,188.778
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_RUR,Rural,2024,13.957
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_URB,Urban,2024,174.822
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_NAT,National,2024,9405.903
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_RUR,Rural,2024,269.109
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_URB,Urban,2024,9136.795
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_NAT,National,2024,4997.278
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_RUR,Rural,2024,114.897
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_URB,Urban,2024,4882.381
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_NAT,National,2024,4408.625
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_RUR,Rural,2024,154.212
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_URB,Urban,2024,4254.413
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_NAT,National,2020,971.389
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_RUR,Rural,2020,51.842
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,GEO_COV_URB,Urban,2020,919.547
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_NAT,National,2020,550.3
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_RUR,Rural,2020,29.206
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,GEO_COV_URB,Urban,2020,521.094
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,GEO_COV_NAT,National,2020,421.089
