REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,STE,STE_LABEL,TIME_PERIOD,VALUE
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,2979.399
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,315.865
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_X,Workers not classifiable by status,2023,
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,2238.203
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,171.991
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_X,Workers not classifiable by status,2023,
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2020,3157.062
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2020,2362.393
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2020,794.669
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2020,2039.138
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2020,1480.82
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2020,558.318
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2020,1117.924
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2020,881.573
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2020,236.351
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,767.251
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,112.113
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,459.431
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,86.356
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,333.577
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,307.82
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,25.757
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_X,Workers not classifiable by status,2024,
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_X,Workers not classifiable by status,2024,
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_X,Workers not classifiable by status,2024,
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,490.744
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,353.027
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,137.717
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,301.965
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,201.078
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,100.887
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,188.778
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,151.949
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,36.83
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,807.461
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,724.263
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,83.198
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,458.141
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,406.57
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,51.572
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,349.32
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,317.694
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,31.626
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,1223.672
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,941.171
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,282.501
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,646.355
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,506.144
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,140.21
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,577.317
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,435.027
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,142.291
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,9405.903
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,7627.758
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,1778.146
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,4997.278
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,3967.235
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,1030.043
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,4408.625
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,3660.522
