REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,1.399
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,293.433
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,192.494
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,40.882
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,3250.059
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2140.979
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,27.036
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,1991.452
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,1172.405
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,13.846
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,1258.607
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,968.574
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,237.243
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,4032.63
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,1435.584
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,179.933
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,2223.597
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,891.734
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,57.31
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,1809.034
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,543.85
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2020,3157.062
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2020,3157.062
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2020,2039.138
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2020,2039.138
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2020,1117.924
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2020,1117.924
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2020,3157.062
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2020,6.486
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2020,1147.357
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2020,2003.218
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2020,2039.138
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2020,5.111
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2020,749.042
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2020,1284.985
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2020,1117.924
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2020,1.375
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2020,398.316
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2020,718.233
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,333.577
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,333.577
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,6.03
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,456.774
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,416.762
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,5.329
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,277.968
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,262.692
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,333.577
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,178.806
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,154.07
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,490.744
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,490.744
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,301.965
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,301.965
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,188.778
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,188.778
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,490.744
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,1.139
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,384.945
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,104.66
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,301.965
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,0.946
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,223.671
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,77.349
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,188.778
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,161.274
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,27.312
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,807.461
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,807.461
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,458.141
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,458.141
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,349.32
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,349.32
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,807.461
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,7.392
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,557.429
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,242.64
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,458.141
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,5.92
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,295.025
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,157.196
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,349.32
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,1.472
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,262.403
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,85.444
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,1223.672
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1223.672
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,646.355
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,646.355
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,577.317
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,577.317
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,1223.672
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,448.441
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,775.168
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,646.355
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,220.539
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,425.752
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,577.317
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,227.902
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,349.416
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,9405.903
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,9405.903
