REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,AGE,AGE_LABEL,OC2,OC2_LABEL,TIME_PERIOD,VALUE
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_TOTAL,Total,2024,17332.958
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_01,01 - Commissioned armed forces officers,2024,30.199
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_02,02 - Non-commissioned armed forces officers,2024,50.254
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_03,"03 - Armed forces occupations, other ranks",2024,72.091
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_11,"11 - Chief executives, senior officials and legislators",2024,235.605
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_12,12 - Administrative and commercial managers,2024,344.28
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_13,13 - Production and specialised services managers,2024,393.921
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_14,"14 - Hospitality, retail and other services managers",2024,287.361
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_21,21 - Science and engineering professionals,2024,577.064
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_22,22 - Health professionals,2024,632.37
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_23,23 - Teaching professionals,2024,878.495
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_24,24 - Business and administration professionals,2024,1151.973
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_25,25 - Information and communications technology professionals,2024,480.054
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_26,"26 - Legal, social and cultural professionals",2024,393.257
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_31,31 - Science and engineering associate professionals,2024,622.807
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_32,32 - Health associate professionals,2024,226.105
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_33,33 - Business and administration associate professionals,2024,1093.004
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_34,"34 - Legal, social, cultural and related associate professionals",2024,274.494
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_35,35 - Information and communications technicians,2024,108.897
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_41,41 - General and keyboard clerks,2024,615.53
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_42,42 - Customer services clerks,2024,155.609
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_43,43 - Numerical and material recording clerks,2024,510.217
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_44,44 - Other clerical support workers,2024,76.155
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_51,51 - Personal service workers,2024,501.776
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_52,52 - Sales workers,2024,1180.396
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_53,53 - Personal care workers,2024,209.072
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_54,54 - Protective services workers,2024,229.548
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_61,61 - Market-oriented skilled agricultural workers,2024,1008.721
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_62,"62 - Market-oriented skilled forestry, fishery and hunting workers",2024,16.959
POL,Poland,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),AGE_YTHADULT_YGE15,15+,OC2_ISCO08_63,"63 - Subsistence farmers, fishers, hunters and gatherers",2024,104.792
