REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,ECO,ECO_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2.7
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_4,4. Clerical support workers,2024,7.398
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_5,5. Service and sales workers,2024,15.4
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,3553.43
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_7,7. Craft and related trades workers,2024,8.28
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,28.153
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_9,9. Elementary occupations,2024,1198.028
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_TOTAL,Total,2024,27793.662
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_1,1. Managers,2024,1832.065
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_2,2. Professionals,2024,4058.589
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2280.271
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_4,4. Clerical support workers,2024,2283.963
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_5,5. Service and sales workers,2024,6363.859
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,67.842
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_7,7. Craft and related trades workers,2024,4283.912
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,3108.098
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_NAG,Non-agriculture,OCU_ISCO08_9,9. Elementary occupations,2024,3515.062
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_TOTAL,Total,2024,8907.613
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_1,1. Managers,2024,515.024
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_2,2. Professionals,2024,430.818
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_3,3. Technicians and associate professionals,2024,623.605
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_4,4. Clerical support workers,2024,543.001
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_5,5. Service and sales workers,2024,396.486
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,6.317
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_7,7. Craft and related trades workers,2024,3330.779
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,1652.124
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_IND,Industry,OCU_ISCO08_9,9. Elementary occupations,2024,1409.458
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_TOTAL,Total,2024,18886.049
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_1,1. Managers,2024,1317.042
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_2,2. Professionals,2024,3627.772
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_3,3. Technicians and associate professionals,2024,1656.666
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_4,4. Clerical support workers,2024,1740.962
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_5,5. Service and sales workers,2024,5967.373
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,61.525
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_7,7. Craft and related trades workers,2024,953.133
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,1455.974
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_SECTOR_SER,Services,OCU_ISCO08_9,9. Elementary occupations,2024,2105.603
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_SKILL_TOTAL,Total,2024,32620.335
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,8186.909
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_SKILL_L2,Skill level 2 ~ medium,2024,19720.337
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_SKILL_L1,Skill level 1 ~ low,2024,4713.09
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_SKILL_TOTAL,Total,2024,4826.673
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,15.983
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_SKILL_L2,Skill level 2 ~ medium,2024,3612.662
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_SKILL_L1,Skill level 1 ~ low,2024,1198.028
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_SKILL_TOTAL,Total,2024,6262.674
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1148.413
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_SKILL_L2,Skill level 2 ~ medium,2024,4200.774
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_SKILL_L1,Skill level 1 ~ low,2024,913.487
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_SKILL_TOTAL,Total,2024,2161.855
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,287.929
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_SKILL_L2,Skill level 2 ~ medium,2024,1508.499
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_SKILL_L1,Skill level 1 ~ low,2024,365.428
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MEL,"Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_TOTAL,Total,2024,483.085
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MEL,"Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,133.106
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MEL,"Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L2,Skill level 2 ~ medium,2024,219.436
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MEL,"Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L1,Skill level 1 ~ low,2024,130.544
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MKT,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_TOTAL,Total,2024,11511.15
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MKT,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,2815.401
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MKT,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L2,Skill level 2 ~ medium,2024,7288.145
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MKT,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",OCU_SKILL_L1,Skill level 1 ~ low,2024,1407.604
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_PUB,"Public Administration, Community, Social and other Services and Activities",OCU_SKILL_TOTAL,Total,2024,7374.899
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_PUB,"Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,3786.078
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_PUB,"Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L2,Skill level 2 ~ medium,2024,2890.822
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_PUB,"Public Administration, Community, Social and other Services and Activities",OCU_SKILL_L1,Skill level 1 ~ low,2024,697.999
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_TOTAL,Total,2024,32620.335
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_1,1. Managers,2024,1837.731
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_2,2. Professionals,2024,4066.206
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2282.971
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_4,4. Clerical support workers,2024,2291.361
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_5,5. Service and sales workers,2024,6379.259
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,3621.272
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_7,7. Craft and related trades workers,2024,4292.192
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,3136.252
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_TOTAL,Total,OCU_ISCO08_9,9. Elementary occupations,2024,4713.09
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_TOTAL,Total,2024,4826.673
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_1,1. Managers,2024,5.666
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_2,2. Professionals,2024,7.617
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2.7
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_4,4. Clerical support workers,2024,7.398
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_5,5. Service and sales workers,2024,15.4
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,3553.43
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_7,7. Craft and related trades workers,2024,8.28
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,28.153
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_AGR,Agriculture,OCU_ISCO08_9,9. Elementary occupations,2024,1198.028
