REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.028
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,1.097
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,1.941
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,2.091
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.078
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,0.082
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,0.9
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2016,3.07
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2016,0.75
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2016,1.46
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2016,5.06
