conf,iou,imgsz,augment,agnostic_nms,mAP50,mAP50_95,precision,recall,time_sec
0.001,0.45,640,False,False,0.438324040712357,0.35910042332631315,0.4825148726917947,0.44080097516367595,1396.14
0.001,0.5,640,False,False,0.4389949332263482,0.3599861142579773,0.4816720943480322,0.44141307177987965,1235.5
0.001,0.55,640,False,False,0.438569806850908,0.3607966578274478,0.48297327988908073,0.4405723467644687,1589.09
0.001,0.6,640,False,False,0.43763970235704935,0.3613075266210025,0.4819350191949746,0.4393310530733164,1193.62
0.001,0.65,640,False,False,0.4361186328274702,0.36135271856466883,0.4803190737703386,0.43825247258622435,1169.49
0.001,0.7,640,False,False,0.4344989943419922,0.36144303103950914,0.4785608482911098,0.43738797544233093,1168.75
0.001,0.75,640,False,False,0.4325263151067714,0.3610096574304316,0.4775995167582709,0.43510642274055783,1160.52
0.01,0.45,640,False,False,0.438435944905921,0.36301273686220864,0.47023417093740877,0.44080097516367595,1153.75
0.01,0.5,640,False,False,0.43886166341497607,0.36356401178186454,0.46939139259364626,0.44141307177987965,1167.95
0.01,0.55,640,False,False,0.4383546853945126,0.36411644726394404,0.4706925781346948,0.4405723467644687,1166.48
0.01,0.6,640,False,False,0.4373558410723432,0.3643354955372436,0.46965431744058866,0.4393310530733164,1162.78
0.01,0.65,640,False,False,0.4357960181817654,0.36413017174516926,0.46803837201595266,0.43825247258622435,1157.87
0.01,0.7,640,False,False,0.43412212434547504,0.36392080250571684,0.4662801465367238,0.43738797544233093,1169.16
0.01,0.75,640,False,False,0.4321124905250047,0.3632379629113787,0.46531881500388483,0.43510642274055783,1156.63
0.05,0.45,640,False,False,0.44134642231319854,0.3713103751493429,0.4667253990075842,0.44080097516367595,1138.84
0.05,0.5,640,False,False,0.44143434397627435,0.37149236489810217,0.4658826206638217,0.44141307177987965,1132.2
0.05,0.55,640,False,False,0.44092230954310085,0.37180122434419804,0.4671838062048702,0.4405723467644687,1137.45
0.05,0.6,640,False,False,0.43996084246600753,0.3717862513340044,0.4661455455107641,0.4393310530733164,1140.92
0.05,0.65,640,False,False,0.43844975686234783,0.3713681562090361,0.4645296000861281,0.43825247258622435,1122.21
0.05,0.7,640,False,False,0.43693263460101506,0.3709594775454149,0.46277137460689927,0.43738797544233093,1126.88
0.05,0.75,640,False,False,0.4350550917294851,0.3701010114943888,0.46181004307406026,0.43510642274055783,1126.87
0.1,0.45,640,False,False,0.4409624862441312,0.375425819436157,0.4550609521826479,0.4402688209640276,1127.08
0.1,0.5,640,False,False,0.4409637234597593,0.37546544542759813,0.4536019189094357,0.44141307177987965,1129.61
0.1,0.55,640,False,False,0.4401963756304504,0.37546085910664084,0.45490310445048426,0.4405723467644687,1145.11
0.1,0.6,640,False,False,0.43930510476292345,0.3754463455129965,0.45386484375637814,0.4393310530733164,1141.25
0.1,0.65,640,False,False,0.4378484141309912,0.3749324044399739,0.45224889833174214,0.43825247258622435,1151.86
0.1,0.7,640,False,False,0.4364222613324483,0.3744495426288705,0.45049067285251326,0.43738797544233093,1138.46
0.1,0.75,640,False,False,0.43472385563541305,0.3736063863287066,0.45017202369897763,0.43443246871905067,1105.7
0.005,0.45,640,False,False,0.4374941277700677,0.3607606807930791,0.47374294286723334,0.44080097516367595,1211.17
0.005,0.5,640,False,False,0.4380342973422702,0.36146149385319,0.4729001645234708,0.44141307177987965,1159.88
0.005,0.55,640,False,False,0.43754395463666257,0.36208743346087335,0.4742013500645193,0.4405723467644687,1162.1
0.005,0.6,640,False,False,0.4365636056327078,0.36242537114103623,0.47316308937041324,0.4393310530733164,1130.71
0.005,0.65,640,False,False,0.4350259386248582,0.3623233516189212,0.47154714394577724,0.43825247258622435,1154.7
0.005,0.7,640,False,False,0.4333595191228341,0.36223269165406524,0.46978891846654836,0.43738797544233093,1173.05
0.005,0.75,640,False,False,0.4313747292873161,0.36164359214194597,0.4688275869337094,0.43510642274055783,1150.52
0.02,0.45,640,False,False,0.43962748800629636,0.3661632480892987,0.47023417093740877,0.44080097516367595,1144.12
0.02,0.5,640,False,False,0.439957302574106,0.3666078064470585,0.46939139259364626,0.44141307177987965,1164.88
0.02,0.55,640,False,False,0.43940130950708645,0.3669848774881087,0.4706925781346948,0.4405723467644687,1166.63
0.02,0.6,640,False,False,0.4383922133975283,0.36709270444888836,0.46965431744058866,0.4393310530733164,1138.62
0.02,0.65,640,False,False,0.4368354770291422,0.3667710882069608,0.46803837201595266,0.43825247258622435,1160.2
0.02,0.7,640,False,False,0.4352010418485966,0.3664707068788288,0.4662801465367238,0.43738797544233093,1146.43
0.02,0.75,640,False,False,0.43321918212030486,0.3656878238494172,0.46531881500388483,0.43510642274055783,1159.74
